"","id","group"
"379","04711Circadian rhythm - fly","5.10 Environmental adaptation"
"380","04712Circadian rhythm - plant","5.10 Environmental adaptation"
"381","04714 NThermogenesis","5.10 Environmental adaptation"
"382","04626Plant-pathogen interaction","5.10 Environmental adaptation"
"383","05200 NPathways in cancer","6.1 Cancer: overview"
"384","05202Transcriptional misregulation in cancer","6.1 Cancer: overview"
"385","05206MicroRNAs in cancer","6.1 Cancer: overview"
"386","05205Proteoglycans in cancer","6.1 Cancer: overview"
"387","05204 NChemical carcinogenesis - DNA adducts","6.1 Cancer: overview"
"388","05207 NChemical carcinogenesis - receptor activation","6.1 Cancer: overview"
"389","05208 NChemical carcinogenesis - reactive oxygen species","6.1 Cancer: overview"
"390","05203Viral carcinogenesis","6.1 Cancer: overview"
"391","05230Central carbon metabolism in cancer","6.1 Cancer: overview"
"392","05231Choline metabolism in cancer","6.1 Cancer: overview"
"393","05235PD-L1 expression and PD-1 checkpoint pathway in cancer","6.1 Cancer: overview"
"394","05210 NColorectal cancer","6.2 Cancer: specific types"
"395","05212 NPancreatic cancer","6.2 Cancer: specific types"
"396","05225 NHepatocellular carcinoma","6.2 Cancer: specific types"
"397","05226 NGastric cancer","6.2 Cancer: specific types"
"398","05214 NGlioma","6.2 Cancer: specific types"
"399","05216 NThyroid cancer","6.2 Cancer: specific types"
"400","05221 NAcute myeloid leukemia","6.2 Cancer: specific types"
"401","05220 NChronic myeloid leukemia","6.2 Cancer: specific types"
"402","05217 NBasal cell carcinoma","6.2 Cancer: specific types"
"403","05218 NMelanoma","6.2 Cancer: specific types"
"404","05211 NRenal cell carcinoma","6.2 Cancer: specific types"
"405","05219 NBladder cancer","6.2 Cancer: specific types"
"406","05215 NProstate cancer","6.2 Cancer: specific types"
"407","05213 NEndometrial cancer","6.2 Cancer: specific types"
"408","05224 NBreast cancer","6.2 Cancer: specific types"
"409","05222 NSmall cell lung cancer","6.2 Cancer: specific types"
"410","05223 NNon-small cell lung cancer","6.2 Cancer: specific types"
"411","05166 NHuman T-cell leukemia virus 1 infection","6.3 Infectious disease: viral"
"412","05170 NHuman immunodeficiency virus 1 infection","6.3 Infectious disease: viral"
"413","05161 NHepatitis B","6.3 Infectious disease: viral"
"414","05160 NHepatitis C","6.3 Infectious disease: viral"
"415","05171 NCoronavirus disease - COVID-1905164 NInfluenza A","6.3 Infectious disease: viral"
"416","05162 NMeasles","6.3 Infectious disease: viral"
"417","05168 NHerpes simplex virus 1 infection","6.3 Infectious disease: viral"
"418","05163 NHuman cytomegalovirus infection","6.3 Infectious disease: viral"
"419","05167 NKaposi sarcoma-associated herpesvirus infection","6.3 Infectious disease: viral"
"420","05169 NEpstein-Barr virus infection","6.3 Infectious disease: viral"
"421","05165 NHuman papillomavirus infection","6.3 Infectious disease: viral"
"422","05110Vibrio cholerae infection","6.4 Infectious disease: bacterial"
"423","05120Epithelial cell signaling in Helicobacter pylori infection","6.4 Infectious disease: bacterial"
"424","05130 NPathogenic Escherichia coli infection","6.4 Infectious disease: bacterial"
"425","05132 NSalmonella infection","6.4 Infectious disease: bacterial"
"426","05131 NShigellosis","6.4 Infectious disease: bacterial"
"427","05135 NYersinia infection","6.4 Infectious disease: bacterial"
"428","05133Pertussis","6.4 Infectious disease: bacterial"
"429","05134Legionellosis","6.4 Infectious disease: bacterial"
"430","05150Staphylococcus aureus infection","6.4 Infectious disease: bacterial"
"431","05152Tuberculosis","6.4 Infectious disease: bacterial"
"432","05100Bacterial invasion of epithelial cells","6.4 Infectious disease: bacterial"
"433","05146Amoebiasis","6.5 Infectious disease: parasitic"
"434","05144Malaria","6.5 Infectious disease: parasitic"
"435","05145Toxoplasmosis","6.5 Infectious disease: parasitic"
"436","05140Leishmaniasis","6.5 Infectious disease: parasitic"
"437","05142Chagas disease","6.5 Infectious disease: parasitic"
"438","05143African trypanosomiasis","6.5 Infectious disease: parasitic"
"439","05310Asthma","6.6 Immune disease"
"440","05322Systemic lupus erythematosus","6.6 Immune disease"
"441","05323Rheumatoid arthritis","6.6 Immune disease"
"442","05320Autoimmune thyroid disease","6.6 Immune disease"
"443","05321Inflammatory bowel disease","6.6 Immune disease"
"444","05330Allograft rejection","6.6 Immune disease"
"445","05332Graft-versus-host disease","6.6 Immune disease"
"446","05340Primary immunodeficiency","6.6 Immune disease"
"447","05010 NAlzheimer disease","6.7 Neurodegenerative disease"
"448","05012 NParkinson disease","6.7 Neurodegenerative disease"
"449","05014 NAmyotrophic lateral sclerosis","6.7 Neurodegenerative disease"
"450","05016 NHuntington disease","6.7 Neurodegenerative disease"
"451","05017 NSpinocerebellar ataxia","6.7 Neurodegenerative disease"
"452","05020 NPrion disease","6.7 Neurodegenerative disease"
"453","05022 NPathways of neurodegeneration - multiple diseases","6.7 Neurodegenerative disease"
"454","05030Cocaine addiction","6.8 Substance dependence"
"455","05031Amphetamine addiction","6.8 Substance dependence"
"456","05032Morphine addiction","6.8 Substance dependence"
"457","05033Nicotine addiction","6.8 Substance dependence"
"458","05034Alcoholism","6.8 Substance dependence"
"459","05417Lipid and atherosclerosis","6.9 Cardiovascular disease"
"460","05418Fluid shear stress and atherosclerosis","6.9 Cardiovascular disease"
"461","05410Hypertrophic cardiomyopathy","6.9 Cardiovascular disease"
"462","05412Arrhythmogenic right ventricular cardiomyopathy","6.9 Cardiovascular disease"
"463","05414Dilated cardiomyopathy","6.9 Cardiovascular disease"
"464","05415Diabetic cardiomyopathy","6.9 Cardiovascular disease"
"465","05416Viral myocarditis","6.9 Cardiovascular disease"
"466","04930Type II diabetes mellitus","6.10 Endocrine and metabolic disease"
"467","04940Type I diabetes mellitus","6.10 Endocrine and metabolic disease"
"468","04950Maturity onset diabetes of the young","6.10 Endocrine and metabolic disease"
"469","04936Alcoholic liver disease","6.10 Endocrine and metabolic disease"
"470","04932Non-alcoholic fatty liver disease","6.10 Endocrine and metabolic disease"
"471","04931Insulin resistance","6.10 Endocrine and metabolic disease"
"472","04933AGE-RAGE signaling pathway in diabetic complications","6.10 Endocrine and metabolic disease"
"473","04934 NCushing syndrome","6.10 Endocrine and metabolic disease"
"474","01501beta-Lactam resistance","6.11 Drug resistance: antimicrobial"
"475","01502Vancomycin resistance","6.11 Drug resistance: antimicrobial"
"476","01503Cationic antimicrobial peptide (CAMP) resistance","6.11 Drug resistance: antimicrobial"
"477","01521EGFR tyrosine kinase inhibitor resistance","6.12 Drug resistance: antineoplastic"
"478","01524Platinum drug resistance","6.12 Drug resistance: antineoplastic"
"479","01523Antifolate resistance","6.12 Drug resistance: antineoplastic"
"480","01522Endocrine resistance","6.12 Drug resistance: antineoplastic"
"481","07011Penicillins","7.1 Chronology: Antiinfectives"
"482","07012Cephalosporins - parenteral agents","7.1 Chronology: Antiinfectives"
"483","07013Cephalosporins - oral agents","7.1 Chronology: Antiinfectives"
"484","07021Aminoglycosides","7.1 Chronology: Antiinfectives"
"485","07019Tetracyclines","7.1 Chronology: Antiinfectives"
"486","07020Macrolides and ketolides","7.1 Chronology: Antiinfectives"
"487","07014Quinolones","7.1 Chronology: Antiinfectives"
"488","07023Rifamycins","7.1 Chronology: Antiinfectives"
"489","07026Antifungal agents","7.1 Chronology: Antiinfectives"
"490","07044Antiviral agents","7.1 Chronology: Antiinfectives"
"491","07053Anti-HIV agents","7.1 Chronology: Antiinfectives"
"492","07040Antineoplastics - alkylating agents","7.2 Chronology: Antineoplastics"
"493","07041Antineoplastics - antimetabolic agents","7.2 Chronology: Antineoplastics"
"494","07042Antineoplastics - agents from natural products","7.2 Chronology: Antineoplastics"
"495","07043Antineoplastics - hormones","7.2 Chronology: Antineoplastics"
"496","07045Antineoplastics - protein kinase inhibitors","7.2 Chronology: Antineoplastics"
"497","07032Hypnotics","7.3 Chronology: Nervous system agents"
"498","07030Anxiolytics","7.3 Chronology: Nervous system agents"
"499","07033Anticonvulsants","7.3 Chronology: Nervous system agents"
"500","07015Local analgesics","7.3 Chronology: Nervous system agents"
"501","07039Opioid analgesics","7.3 Chronology: Nervous system agents"
"502","07028Antipsychotics","7.3 Chronology: Nervous system agents"
"503","07029Antipsychotics - phenothiazines","7.3 Chronology: Nervous system agents"
"504","07031Antipsychotics - butyrophenones","7.3 Chronology: Nervous system agents"
"505","07027Antidepressants","7.3 Chronology: Nervous system agents"
"506","07056Agents for Alzheimer-type dementia","7.3 Chronology: Nervous system agents"
"507","07057Antiparkinsonian agents","7.3 Chronology: Nervous system agents"
"508","07055Sulfonamide derivatives - overview","7.4 Chronology: Other drugs"
"509","07016Sulfonamide derivatives - sulfa drugs","7.4 Chronology: Other drugs"
"510","07017Sulfonamide derivatives - diuretics","7.4 Chronology: Other drugs"
"511","07018Sulfonamide derivatives - hypoglycemic agents","7.4 Chronology: Other drugs"
"512","07037Antiarrhythmic drugs","7.4 Chronology: Other drugs"
"513","07038Antiulcer drugs","7.4 Chronology: Other drugs"
"514","07046Immunosuppressive agents","7.4 Chronology: Other drugs"
"515","07047Osteoporosis drugs","7.4 Chronology: Other drugs"
"516","07048Antimigraines","7.4 Chronology: Other drugs"
"517","07049Antithrombosis agents","7.4 Chronology: Other drugs"
"518","07050Antirheumatics - DMARDs and biological agents","7.4 Chronology: Other drugs"
"519","07051Antidiabetics","7.4 Chronology: Other drugs"
"520","07052Antidyslipidemic agents","7.4 Chronology: Other drugs"
"521","07054Antiglaucoma agents","7.4 Chronology: Other drugs"
"522","07220Cholinergic and anticholinergic drugs","7.5 Target-based classification: G protein-coupled receptors"
"523","07215alpha-Adrenergic receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"524","07214beta-Adrenergic receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"525","07213Dopamine receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"526","07212Histamine H1 receptor antagonists","7.5 Target-based classification: G protein-coupled receptors"
"527","07227Histamine H2/H3 receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"528","07211Serotonin receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"529","07228Eicosanoid receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"530","07224Opioid receptor agonists/antagonists","7.5 Target-based classification: G protein-coupled receptors"
"531","07229Angiotensin receptor and endothelin receptor antagonists","7.5 Target-based classification: G protein-coupled receptors"
"532","07225Glucocorticoid and mineralocorticoid receptor agonists/antagonists","7.6 Target-based classification: Nuclear receptors"
"533","07226Progesterone, androgen and estrogen receptor agonists/antagonists","7.6 Target-based classification: Nuclear receptors"
"534","07223Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists","7.6 Target-based classification: Nuclear receptors"
"535","07222Peroxisome proliferator-activated receptor (PPAR) agonists","7.6 Target-based classification: Nuclear receptors"
"536","07221Nicotinic cholinergic receptor antagonists","7.7 Target-based classification: Ion channels"
"537","07230GABA-A receptor agonists/antagonists","7.7 Target-based classification: Ion channels"
"538","07036Calcium channel blocking drugs","7.7 Target-based classification: Ion channels"
"539","07231Sodium channel blocking drugs","7.7 Target-based classification: Ion channels"
"540","07232Potassium channel blocking and opening drugs","7.7 Target-based classification: Ion channels"
"541","07235N-Methyl-D-aspartic acid (NMDA) receptor antagonists","7.7 Target-based classification: Ion channels"
"542","07233Ion transporter inhibitors","7.8 Target-based classification: Transporters"
"543","07234Neurotransmitter transporter inhibitors","7.8 Target-based classification: Transporters"
"544","07216Catecholamine transferase inhibitors","7.9 Target-based classification: Enzymes"
"545","07219Cyclooxygenase inhibitors","7.9 Target-based classification: Enzymes"
"546","07024HMG-CoA reductase inhibitors","7.9 Target-based classification: Enzymes"
"547","07217Renin-angiotensin system inhibitors","7.9 Target-based classification: Enzymes"
"548","07218HIV protease inhibitors","7.9 Target-based classification: Enzymes"
"549","07025Quinolines","7.10 Structure-based classification"
"550","07034Eicosanoids","7.10 Structure-based classification"
"551","07035Prostaglandins","7.10 Structure-based classification"
"552","07110Benzoic acid family","7.11 Skeleton-based classification"
"553","071121,2-Diphenyl substitution family","7.11 Skeleton-based classification"
"554","07114Naphthalene family","7.11 Skeleton-based classification"
"555","07117Benzodiazepine family","7.11 Skeleton-based classification"
